is_text,czso_short,kodjaz,akrcis,kodcis,ISO_A2,czso_full,admplod,admnepo,ISO_A3
Tuvalu,Tuvalu,CS,CZEMALFA,1186,TV,Tuvalu,1900-01-01,9999-09-09,TUV
Uganda,Uganda,CS,CZEMALFA,1186,UG,Ugandská republika,1900-01-01,9999-09-09,UGA
Ukrajina,Ukrajina,CS,CZEMALFA,1186,UA,Ukrajina,1900-01-01,9999-09-09,UKR
Uruguay,Uruguay,CS,CZEMALFA,1186,UY,Uruguayská východní republika,1900-01-01,9999-09-09,URY
Uzbekistán,Uzbekistán,CS,CZEMALFA,1186,UZ,Republika Uzbekistán,1900-01-01,9999-09-09,UZB
Vánoční ostrov,Vánoční ostrov,CS,CZEMALFA,1186,CX,Území Vánoční ostrov,1900-01-01,9999-09-09,CXR
Vanuatu,Vanuatu,CS,CZEMALFA,1186,VU,Republika Vanuatu,1900-01-01,9999-09-09,VUT
Vatikán,Vatikán,CS,CZEMALFA,1186,VA,Vatikánský městský stát,1900-01-01,9999-09-09,VAT
Velká Británie,Velká Británie a Severní Irsko,CS,CZEMALFA,1186,GB,Spojené království Velké Británie a Severního Irska,1900-01-01,9999-09-09,GBR
Venezuela,Venezuela,CS,CZEMALFA,1186,VE,Bolívarovská republika Venezuela,1900-01-01,9999-09-09,VEN
Vietnam,Vietnam,CS,CZEMALFA,1186,VN,Vietnamská socialistická republika,1900-01-01,9999-09-09,VNM
Východní Timor,Východní Timor,CS,CZEMALFA,1186,TL,Demokratická republika Východní Timor,2004-01-01,9999-09-09,TLS
Wallis a Futuna,Wallis a Futuna,CS,CZEMALFA,1186,WF,Teritorium Wallisovy ostrovy a Futuna,1900-01-01,9999-09-09,WLF
Zambie,Zambie,CS,CZEMALFA,1186,ZM,Zambijská republika,1900-01-01,9999-09-09,ZMB
Západní Sahara,Západní Sahara,CS,CZEMALFA,1186,EH,Saharská arabská demokratická republika,1900-01-01,9999-09-09,ESH
Zimbabwe,Zimbabwe,CS,CZEMALFA,1186,ZW,Zimbabwská republika,1900-01-01,9999-09-09,ZWE
